date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-18,Wednesday,AERO,5.962083333,3.72375,523.0208333,23.314375,63.46354167,3,25.5,40.6,13,151,23
2026-02-19,Thursday,AERO,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,3,25.6,40.7,13,168,25
2026-02-06,Friday,AERO,5.797708333,3.698333333,399.1458333,23.085,63.29375,4,33.9,17.9,9,58,7
2026-02-07,Saturday,AERO,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,4,34.1,18.1,9,62,7
2026-02-09,Monday,AERO,5.854583333,3.646458333,432.1875,23.21125,63.51395833,4,34.5,18.6,10,66,8
2026-02-10,Tuesday,AERO,5.869375,3.696666667,445.8125,23.1675,63.1125,4,34.7,19,10,70,8
2026-02-11,Wednesday,AERO,5.878333333,3.655625,445.2708333,23.308125,63.37541667,4,34.8,19.2,10,74,9
2026-02-12,Thursday,AERO,5.882291667,3.753958333,468.625,23.25229167,63.66895833,4,35.1,19.6,11,82,10
2026-02-13,Friday,AERO,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,4,35.3,19.8,11,82,11
2026-02-14,Saturday,AERO,5.926458333,3.586041667,482.5,23.159375,63.02458333,4,35.4,20.1,11,85,11
2026-02-16,Monday,AERO,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,4,35.9,21.8,13,88,11
2026-02-18,Wednesday,AERO,5.962083333,3.72375,523.0208333,23.314375,63.46354167,4,36.5,22.4,18,93,23
2026-02-19,Thursday,AERO,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,4,36.7,22.7,18,95,14
2026-02-06,Friday,AERO,5.797708333,3.698333333,399.1458333,23.085,63.29375,5,33,60.6,5,71,12
2026-02-07,Saturday,AERO,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,5,33.2,60.9,5,76,13
2026-02-09,Monday,AERO,5.854583333,3.646458333,432.1875,23.21125,63.51395833,5,33.4,61.1,5,81,14
2026-02-10,Tuesday,AERO,5.869375,3.696666667,445.8125,23.1675,63.1125,5,33.6,61.4,5,86,15
2026-02-11,Wednesday,AERO,5.878333333,3.655625,445.2708333,23.308125,63.37541667,5,33.9,61.8,5,91,16
2026-02-12,Thursday,AERO,5.882291667,3.753958333,468.625,23.25229167,63.66895833,5,34.1,62.1,6,101,16
2026-02-13,Friday,AERO,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,5,34.2,62.2,8,102,18
2026-02-14,Saturday,AERO,5.926458333,3.586041667,482.5,23.159375,63.02458333,5,34.5,62.7,12,108,20
2026-02-16,Monday,AERO,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,5,34.9,63.1,14,115,22
2026-02-18,Wednesday,AERO,5.962083333,3.72375,523.0208333,23.314375,63.46354167,5,35.3,63.7,15,121,26
2026-02-19,Thursday,AERO,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,5,35.4,63.9,16,136,27
2026-02-06,Friday,AERO,5.797708333,3.698333333,399.1458333,23.085,63.29375,6,29.4,42.2,9,56,12
2026-02-07,Saturday,AERO,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,6,29.6,42.5,9,61,13
2026-02-09,Monday,AERO,5.854583333,3.646458333,432.1875,23.21125,63.51395833,6,29.8,42.8,9,66,14
2026-02-10,Tuesday,AERO,5.869375,3.696666667,445.8125,23.1675,63.1125,6,30,43.2,9,71,15
2026-02-11,Wednesday,AERO,5.878333333,3.655625,445.2708333,23.308125,63.37541667,6,30.2,43.5,9,76,16
2026-02-12,Thursday,AERO,5.882291667,3.753958333,468.625,23.25229167,63.66895833,6,30.5,44,10,86,18
2026-02-13,Friday,AERO,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,6,30.6,44.3,11,94,18
2026-02-14,Saturday,AERO,5.926458333,3.586041667,482.5,23.159375,63.02458333,6,30.8,44.6,13,102,18
2026-02-16,Monday,AERO,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,6,31.4,45.3,16,108,23
2026-02-18,Wednesday,AERO,5.962083333,3.72375,523.0208333,23.314375,63.46354167,6,31.7,45.6,17,128,23
2026-02-19,Thursday,AERO,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,6,31.8,45.8,17,145,23
